filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1970s/krapivin.malchik_so_shpagoj.1975_2008.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Мальчик со шпагой,1975,"Летчик для Особых Поручений [Та сторона, где ветер ; Мальчик со шпагой ; Повести : Для детей], Свердловск: Сред.-Уральск. кн. изд-во, 1975",2008,"Паруса «Эспады». Мальчик со шпагой, М.: Эксмо, 2008",realism,krapivin.malchik_so_shpagoj
1970s/krapivin.mushketer_i_feya.1978_2005.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Мушкетёр и фея,1979,"Мушкетер и Фея. Повести [Для мл. шк. возраста], М.: Дет. лит., 1979",2005,"Мушкетер и фея [Повести], М.: Эксмо, 2005",realism,krapivin.mushketer_i_feya
1970s/krapivin.v_noch_bolshogo_priliva.1979_1983.vert,"Крапивин, Владислав Петрович",,1938,2020,м,В ночь большого прилива,1979,"В ночь большого прилива [Повести : Для сред. и ст. школьного возраста], Свердловск: Сред.-урал. кн. изд-во, 1979",1983,"В ночь большого прилива [Повести и рассказы. Для сред. и ст. возраста], М.: Дет. лит., 1983",realism,krapivin.v_noch_bolshogo_priliva
1970s/krapivin_vladislav.barkentina_s_imenem.1972.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Баркентина с именем звезды,1972,"Баркентина с именем звезды, Пермь: Кн. изд-во, 1972",1972,"Баркентина с именем звезды, Пермь: Кн. изд-во, 1972",skazka,krapivin_vladislav.barkentina_s_imenem
1970s/krapivin_vladislav.lerka.1970_2001.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Лерка,1970,"Бегство рогатых викингов, Свердловск: Сред.-урал. кн. изд-во, 1970",2001,"Владислав Крапивин. Собрание сочинений. Книга 23. Мушкетер и фея, М.: Центрполиграф, 2001",realism,krapivin_vladislav.lerka
1970s/krapivin_vladislav.letchik_dlya_osobyh_poruchenii.1975_2005.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Летчик для Особых Поручений,1975,"Летчик для Особых Поручений, Свердловск: Сред.-урал. кн. изд-во, 1975",2005,"Летчик для Особых поручений, М.: Эксмо, 2005",skazka,krapivin_vladislav.letchik_dlya_osobyh_poruchenii
1970s/krapivin_vladislav.more_v_kontse_pereulka.1976.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Море в конце переулка,1976,"Море в конце переулка, М.: Молодая гвардия, 1976",1976,"Море в конце переулка, М.: Молодая гвардия, 1976",realism,krapivin_vladislav.more_v_kontse_pereulka
1970s/krapivin_vladislav.staryy_dom.1970.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Старый дом,1970,"Роза ветров [Сборник повестей, рассказов, стихов, сказок для сред. школьного возраста], Пермь: Кн. изд-во, 1970",1970,"Роза ветров [Сборник повестей, рассказов, стихов, сказок для сред. школьного возраста], Пермь: Кн. изд-во, 1970",fantasy,krapivin_vladislav.staryy_dom
1970s/kravcova.iz_za_party_na_voinu.1976.vert,"Кравцова, Наталья Фёдоровна",,1922,2005,ж,Из-за парты на войну,1976,"Из-за парты — на войну. Повесть [Для ст. возраста], М.: Дет. лит., 1976",1976,"Из-за парты — на войну. Повесть [Для ст. возраста], М.: Дет. лит., 1976",realism,kravcova.iz_za_party_na_voinu
1970s/krshizhanovskaya_elena.chelovek_reshaet_sam.1975.vert,"Кршижановская, Елена Ивановна",,1909,1988,ж,Человек решает сам,1975,"Человек решает сам. Повесть [Для мл. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1975",1975,"Человек решает сам. Повесть [Для мл. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1975",realism,krshizhanovskaya_elena.chelovek_reshaet_sam
